instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,temp2,atemp,hum,hum2,windspeed,windspeed2,casual,registered,cnt,recency
18,2011-01-18,Spring,2011,Jan,0,Wed,1,2,8.883347,Cold,11.61665,86.16669999999999,High,9.833924999999999,Calm,9,674,683,713.0
19,2011-01-19,Spring,2011,Jan,0,Thu,1,2,11.979134,Cold,14.921100000000001,74.1739,High,13.957239,Breezy,78,1572,1650,712.0
20,2011-01-20,Spring,2011,Jan,0,Fri,1,2,10.728347,Cold,12.7525,53.833299999999994,Medium,13.125568,Breezy,83,1844,1927,711.0
21,2011-01-21,Spring,2011,Jan,0,Sat,1,1,7.2775,Cold,7.89165,45.7083,Medium,23.667214,Windy,75,1468,1543,710.0
22,2011-01-22,Spring,2011,Jan,0,Sun,1,1,2.4243464,Cold,3.9534800000000003,40.0,Medium,11.52199,Calm,93,888,981,709.0
23,2011-01-23,Spring,2011,Jan,0,Mon,1,1,3.9573897000000002,Cold,4.941955,43.6522,Medium,16.5222,Breezy,150,836,986,708.0
24,2011-01-24,Spring,2011,Jan,0,Tue,1,1,3.9930433,Cold,5.8965,49.173899999999996,Medium,10.60811,Calm,86,1330,1416,707.0
25,2011-01-25,Spring,2011,Jan,0,Wed,1,2,9.162598000000001,Cold,11.7263,61.695699999999995,Medium,8.696332,Calm,186,1799,1985,706.0
26,2011-01-26,Spring,2011,Jan,0,Thu,1,3,8.9175,Cold,10.18,86.25,High,19.68795,Breezy,34,472,506,705.0
27,2011-01-27,Spring,2011,Jan,0,Fri,1,1,7.995,Cold,10.985,68.75,High,7.627078999999999,Calm,15,416,431,704.0
28,2011-01-28,Spring,2011,Jan,0,Sat,1,2,8.342597999999999,Cold,11.165849999999999,79.30430000000001,High,8.2611,Calm,38,1129,1167,703.0
29,2011-01-29,Spring,2011,Jan,0,Sun,1,1,8.057402,Cold,10.606300000000001,65.17389999999999,High,9.739455,Calm,123,975,1098,702.0
30,2011-01-30,Spring,2011,Jan,0,Mon,1,1,8.877402,Cold,12.5161,72.2174,High,4.956834199999999,Calm,140,956,1096,701.0
31,2011-01-31,Spring,2011,Jan,0,Tue,1,2,7.414153,Cold,9.3125,60.375,Medium,12.541864,Breezy,42,1459,1501,700.0
32,2011-02-01,Spring,2011,Feb,0,Wed,1,2,7.8791340000000005,Cold,11.7265,82.9565,High,3.565271,Calm,47,1313,1360,699.0
33,2011-02-02,Spring,2011,Feb,0,Thu,1,2,10.66,Cold,12.72085,77.5417,High,17.708636,Breezy,72,1454,1526,698.0
34,2011-02-03,Spring,2011,Feb,0,Fri,1,1,7.665237,Cold,8.8939,43.7826,Medium,18.609384,Breezy,61,1489,1550,697.0
35,2011-02-04,Spring,2011,Feb,0,Sat,1,2,8.663464,Cold,11.429350000000001,58.521699999999996,Medium,8.565213,Calm,88,1620,1708,696.0
36,2011-02-05,Spring,2011,Feb,0,Sun,1,2,9.566653,Cold,12.152899999999999,92.91669999999999,High,10.792293,Calm,100,905,1005,695.0
37,2011-02-06,Spring,2011,Feb,0,Mon,1,1,11.719153,Cold,14.58355,56.833299999999994,Medium,9.5006,Calm,354,1269,1623,694.0
38,2011-02-07,Spring,2011,Feb,0,Tue,1,1,11.138347,Cold,15.1829,73.83330000000001,High,3.0423561,Calm,120,1592,1712,693.0
39,2011-02-08,Spring,2011,Feb,0,Wed,1,1,9.054153,Cold,9.9123,53.7917,Medium,24.25065,Windy,64,1466,1530,692.0
40,2011-02-09,Spring,2011,Feb,0,Thu,1,2,5.526102999999999,Cold,7.21415,49.4783,Medium,12.652213,Breezy,53,1552,1605,691.0
41,2011-02-10,Spring,2011,Feb,0,Fri,1,1,5.918268,Cold,7.477399999999999,43.7391,Medium,14.869645,Breezy,47,1491,1538,690.0
42,2011-02-11,Spring,2011,Feb,0,Sat,1,1,7.752731000000001,Cold,10.67545,50.6364,Medium,7.272849999999999,Calm,149,1597,1746,689.0
43,2011-02-12,Spring,2011,Feb,0,Sun,1,1,9.1225,Cold,11.6477,54.4167,Medium,13.625589,Breezy,288,1184,1472,688.0
44,2011-02-13,Spring,2011,Feb,0,Mon,1,1,12.977402000000001,Cold,16.20565,45.7391,Medium,17.479160999999998,Breezy,397,1192,1589,687.0
45,2011-02-14,Spring,2011,Feb,0,Tue,1,1,17.015,Mild,19.9175,37.583299999999994,Medium,27.999836,Windy,208,1705,1913,686.0
46,2011-02-15,Spring,2011,Feb,0,Wed,1,1,10.909567000000001,Cold,12.7137,31.434800000000003,Low,19.522058,Breezy,140,1675,1815,685.0
47,2011-02-16,Spring,2011,Feb,0,Thu,1,1,13.048701000000001,Cold,15.809999999999999,42.3478,Medium,16.869996999999998,Breezy,218,1897,2115,684.0
48,2011-02-17,Spring,2011,Feb,0,Fri,1,1,17.869153,Mild,21.4329,50.5,Medium,15.416968,Breezy,259,2216,2475,683.0
49,2011-02-18,Spring,2011,Feb,0,Sat,1,1,21.388347,Mild,25.599149999999998,51.6667,Medium,17.749975000000003,Breezy,579,2348,2927,682.0
50,2011-02-19,Spring,2011,Feb,0,Sun,1,1,16.365847,Mild,19.5702,18.7917,Low,34.000021,Windy,532,1103,1635,681.0
51,2011-02-20,Spring,2011,Feb,0,Mon,1,1,11.693897,Cold,13.8665,40.7826,Medium,14.956745,Breezy,639,1173,1812,680.0
52,2011-02-21,Spring,2011,Feb,1,Tue,0,2,12.436653000000002,Cold,14.203750000000001,60.5,Medium,20.625682,Breezy,195,912,1107,679.0
53,2011-02-22,Spring,2011,Feb,0,Wed,1,1,7.471102,Cold,9.30165,57.7778,Medium,13.110761,Breezy,74,1376,1450,678.0
54,2011-02-23,Spring,2011,Feb,0,Thu,1,1,9.091299,Cold,12.28585,42.3043,Medium,6.3055710000000005,Calm,139,1778,1917,677.0
55,2011-02-24,Spring,2011,Feb,0,Fri,1,2,12.121732000000002,Cold,14.459549999999998,69.7391,High,16.783231999999998,Breezy,100,1707,1807,676.0
56,2011-02-25,Spring,2011,Feb,0,Sat,1,2,14.938268,Mild,17.52305,71.2174,High,23.218113,Windy,120,1341,1461,675.0
57,2011-02-26,Spring,2011,Feb,0,Sun,1,1,11.5825,Cold,14.1096,53.7917,Medium,12.500257,Breezy,424,1545,1969,674.0
58,2011-02-27,Spring,2011,Feb,0,Mon,1,1,14.082598,Mild,17.55545,68.0,High,8.391615999999999,Calm,694,1708,2402,673.0
59,2011-02-28,Spring,2011,Feb,0,Tue,1,2,16.698193,Mild,20.005899999999997,87.63640000000001,High,19.408962,Breezy,81,1365,1446,672.0
60,2011-03-01,Spring,2011,Mar,0,Wed,1,1,10.933347,Cold,13.19395,53.5,Medium,14.500475,Breezy,137,1714,1851,671.0
61,2011-03-02,Spring,2011,Mar,0,Thu,1,1,13.735000000000001,Mild,16.00355,44.9583,Medium,20.624811,Breezy,231,1903,2134,670.0
62,2011-03-03,Spring,2011,Mar,0,Fri,1,1,8.131653,Cold,10.00665,31.833299999999998,Low,15.125518000000001,Breezy,123,1562,1685,669.0
63,2011-03-04,Spring,2011,Mar,0,Sat,1,2,10.728347,Cold,12.783949999999999,61.0417,Medium,13.624182,Breezy,214,1730,1944,668.0
64,2011-03-05,Spring,2011,Mar,0,Sun,1,2,15.750846999999998,Mild,18.93895,78.91669999999999,High,16.875357,Breezy,640,1437,2077,667.0
65,2011-03-06,Spring,2011,Mar,0,Mon,1,2,15.437402,Mild,18.3126,94.8261,High,23.000229,Breezy,114,491,605,666.0
66,2011-03-07,Spring,2011,Mar,0,Tue,1,1,10.731299,Cold,11.92305,55.1304,Medium,22.870584,Breezy,244,1628,1872,665.0
67,2011-03-08,Spring,2011,Mar,0,Wed,1,1,11.9925,Cold,15.120000000000001,42.0833,Medium,8.083549999999999,Calm,316,1817,2133,664.0
68,2011-03-09,Spring,2011,Mar,0,Thu,1,2,12.129153,Cold,14.3304,77.5417,High,14.750050000000002,Breezy,191,1700,1891,663.0
69,2011-03-10,Spring,2011,Mar,0,Fri,1,3,15.952731,Mild,19.2834,0.0,Low,17.545759,Breezy,46,577,623,662.0
70,2011-03-11,Spring,2011,Mar,0,Sat,1,2,12.977402000000001,Cold,15.25,64.95649999999999,High,15.60899,Breezy,247,1730,1977,661.0
71,2011-03-12,Spring,2011,Mar,0,Sun,1,1,13.495847,Mild,16.287499999999998,59.458299999999994,Medium,14.791924999999999,Breezy,724,1408,2132,660.0
72,2011-03-13,Spring,2011,Mar,0,Mon,1,1,15.758268000000001,Mild,19.004550000000002,52.73910000000001,Medium,18.130468,Breezy,982,1435,2417,659.0
73,2011-03-14,Spring,2011,Mar,0,Tue,1,1,13.333896999999999,Cold,16.6,49.695699999999995,Medium,9.174042,Calm,359,1687,2046,658.0
74,2011-03-15,Spring,2011,Mar,0,Wed,1,2,13.013031,Cold,15.908900000000001,65.5652,High,12.348703,Breezy,289,1767,2056,657.0
75,2011-03-16,Spring,2011,Mar,0,Thu,1,2,14.973897000000001,Mild,18.3465,77.65220000000001,High,13.608839,Breezy,321,1871,2192,656.0
76,2011-03-17,Spring,2011,Mar,0,Fri,1,1,17.015,Mild,20.51665,60.291700000000006,Medium,14.041792999999998,Breezy,424,2320,2744,655.0
77,2011-03-18,Spring,2011,Mar,0,Sat,1,1,22.14,Mild,26.35045,52.5217,Medium,15.478139,Breezy,884,2355,3239,654.0
78,2011-03-19,Spring,2011,Mar,0,Sun,1,1,19.3725,Mild,23.32625,37.9167,Medium,24.667189,Windy,1424,1693,3117,653.0
79,2011-03-20,Spring,2011,Mar,0,Mon,1,1,13.6325,Mild,16.287499999999998,47.375,Medium,13.917307,Breezy,1047,1424,2471,652.0
80,2011-03-21,Summer,2011,Mar,0,Tue,1,2,17.647835,Mild,20.48675,73.73910000000001,High,19.348461,Breezy,401,1676,2077,651.0
81,2011-03-22,Summer,2011,Mar,0,Wed,1,1,18.108347,Mild,22.0321,62.4583,Medium,15.125250000000001,Breezy,460,2243,2703,650.0
82,2011-03-23,Summer,2011,Mar,0,Thu,1,2,14.225237,Mild,16.89695,83.9565,High,15.695487,Breezy,203,1918,2121,649.0
83,2011-03-24,Summer,2011,Mar,0,Fri,1,2,11.684999999999999,Cold,13.541649999999999,80.58330000000001,High,16.333729,Breezy,166,1699,1865,648.0
84,2011-03-25,Summer,2011,Mar,0,Sat,1,1,10.830846999999999,Cold,12.8156,49.5,Medium,15.458575000000002,Breezy,300,1910,2210,647.0
85,2011-03-26,Summer,2011,Mar,0,Sun,1,1,10.899153,Cold,12.87855,39.4167,Medium,14.041257,Breezy,981,1515,2496,646.0
86,2011-03-27,Summer,2011,Mar,0,Mon,1,2,10.374763000000002,Cold,12.51695,49.3913,Medium,12.348099999999999,Breezy,472,1221,1693,645.0
87,2011-03-28,Summer,2011,Mar,0,Tue,1,1,10.838268000000001,Cold,12.878700000000002,30.2174,Low,14.217668,Breezy,222,1806,2028,644.0
88,2011-03-29,Summer,2011,Mar,0,Wed,1,1,12.4025,Cold,14.6454,31.4167,Low,15.208732,Breezy,317,2108,2425,643.0
89,2011-03-30,Summer,2011,Mar,0,Thu,1,2,12.299999999999999,Cold,14.8675,64.6667,Medium,11.583495999999998,Calm,168,1368,1536,642.0
90,2011-03-31,Summer,2011,Mar,0,Fri,1,3,11.001653,Cold,12.87875,91.8333,High,14.582282000000001,Breezy,179,1506,1685,641.0
91,2011-04-01,Summer,2011,Apr,0,Sat,1,2,12.299999999999999,Cold,14.172699999999999,68.625,High,17.333436,Breezy,307,1920,2227,640.0
92,2011-04-02,Summer,2011,Apr,0,Sun,1,2,12.915000000000001,Cold,15.78185,65.375,High,13.208782,Breezy,898,1354,2252,639.0
93,2011-04-03,Summer,2011,Apr,0,Mon,1,1,15.511652999999999,Mild,18.93835,48.0,Medium,12.208271000000002,Calm,1651,1598,3249,638.0
94,2011-04-04,Summer,2011,Apr,0,Tue,1,1,23.506653,Mild,27.14645,42.625,Medium,25.833257,Windy,734,2381,3115,637.0
95,2011-04-05,Summer,2011,Apr,0,Wed,1,2,16.980847,Mild,19.9175,64.2083,Medium,26.000488999999998,Windy,167,1628,1795,636.0
96,2011-04-06,Summer,2011,Apr,0,Thu,1,1,16.024153,Mild,19.3804,47.0833,Medium,17.625221,Breezy,413,2395,2808,635.0
97,2011-04-07,Summer,2011,Apr,0,Fri,1,1,17.9375,Mild,21.684800000000003,60.291700000000006,Medium,10.874904,Calm,571,2570,3141,634.0
98,2011-04-08,Summer,2011,Apr,0,Sat,1,2,13.769153,Mild,16.223950000000002,83.625,High,15.208464,Breezy,172,1299,1471,633.0
99,2011-04-09,Summer,2011,Apr,0,Sun,1,2,14.0425,Mild,17.07645,87.75,High,8.916561,Calm,879,1576,2455,632.0
100,2011-04-10,Summer,2011,Apr,0,Mon,1,2,17.493347,Mild,21.33685,85.75,High,9.833389,Calm,1188,1707,2895,631.0
101,2011-04-11,Summer,2011,Apr,0,Tue,1,2,24.421732,Hot,28.260849999999998,71.6956,High,21.739758,Breezy,855,2493,3348,630.0
102,2011-04-12,Summer,2011,Apr,0,Wed,1,2,20.6025,Mild,24.6527,73.9167,High,18.416892999999998,Breezy,257,1777,2034,629.0
103,2011-04-13,Summer,2011,Apr,0,Thu,1,2,16.912499999999998,Mild,20.864150000000002,81.91669999999999,High,16.791338999999997,Breezy,209,1953,2162,628.0
104,2011-04-14,Summer,2011,Apr,0,Fri,1,1,19.1675,Mild,23.1371,54.041700000000006,Medium,7.4169,Calm,529,2738,3267,627.0
105,2011-04-15,Summer,2011,Apr,1,Sat,0,1,18.313347,Mild,22.09565,67.125,High,15.167124999999999,Breezy,642,2484,3126,626.0
106,2011-04-16,Summer,2011,Apr,0,Sun,1,3,17.664153000000002,Mild,21.2746,88.83330000000001,High,22.834136,Breezy,121,674,795,625.0
107,2011-04-17,Summer,2011,Apr,0,Mon,1,1,18.723347,Mild,22.2848,47.9583,Medium,20.334232,Breezy,1558,2186,3744,624.0
108,2011-04-18,Summer,2011,Apr,0,Tue,1,1,21.0125,Mild,25.1573,54.25,Medium,10.958988999999999,Calm,669,2760,3429,623.0
109,2011-04-19,Summer,2011,Apr,0,Wed,1,2,20.739152999999998,Mild,24.4629,66.5833,High,10.584057,Calm,409,2795,3204,622.0
110,2011-04-20,Summer,2011,Apr,0,Thu,1,1,24.395,Hot,28.2196,61.4167,Medium,16.208975,Breezy,613,3331,3944,621.0
111,2011-04-21,Summer,2011,Apr,0,Fri,1,1,18.825847,Mild,22.6946,40.708299999999994,Medium,21.792286,Breezy,745,3444,4189,620.0
112,2011-04-22,Summer,2011,Apr,0,Sat,1,2,13.803347,Mild,16.0977,72.9583,High,14.707906999999999,Breezy,177,1506,1683,619.0
113,2011-04-23,Summer,2011,Apr,0,Sun,1,2,18.86,Mild,22.50605,88.79169999999999,High,15.458575000000002,Breezy,1462,2574,4036,618.0
114,2011-04-24,Summer,2011,Apr,0,Mon,1,2,23.848347,Mild,27.58815,81.08330000000001,High,12.875725000000001,Breezy,1710,2481,4191,617.0
115,2011-04-25,Summer,2011,Apr,0,Tue,1,1,24.873347,Hot,28.725,77.6667,High,12.417311,Breezy,773,3300,4073,616.0
116,2011-04-26,Summer,2011,Apr,0,Wed,1,1,25.898346999999998,Hot,29.704150000000002,72.9167,High,21.875500000000002,Breezy,678,3722,4400,615.0
117,2011-04-27,Summer,2011,Apr,0,Thu,1,2,25.419999999999998,Hot,28.7571,83.54169999999999,High,20.917399999999997,Breezy,547,3325,3872,614.0
118,2011-04-28,Summer,2011,Apr,0,Fri,1,2,25.317500000000003,Hot,28.946450000000002,70.08330000000001,High,21.500836000000003,Breezy,569,3489,4058,613.0
119,2011-04-29,Summer,2011,Apr,0,Sat,1,1,20.91,Mild,24.87315,45.7083,Medium,16.084221,Breezy,878,3717,4595,612.0
120,2011-04-30,Summer,2011,Apr,0,Sun,1,1,19.3725,Mild,23.201050000000002,50.3333,Medium,15.750025,Breezy,1965,3347,5312,611.0
121,2011-05-01,Summer,2011,May,0,Mon,1,2,18.518347,Mild,22.4102,76.2083,High,7.125718,Calm,1138,2213,3351,610.0
122,2011-05-02,Summer,2011,May,0,Tue,1,2,22.515846999999997,Mild,26.64165,73.0,High,12.291418,Calm,847,3554,4401,609.0
123,2011-05-03,Summer,2011,May,0,Wed,1,2,25.283347,Hot,29.10395,69.7083,High,22.958689,Breezy,603,3848,4451,608.0
124,2011-05-04,Summer,2011,May,0,Thu,1,2,16.980847,Mild,20.2325,73.70830000000001,High,22.042732,Breezy,255,2378,2633,607.0
125,2011-05-05,Summer,2011,May,0,Fri,1,1,18.825847,Mild,22.09585,44.4167,Medium,19.791263999999998,Breezy,614,3819,4433,606.0
126,2011-05-06,Summer,2011,May,0,Sat,1,1,19.645847,Mild,23.70585,59.0,Medium,15.292482,Breezy,894,3714,4608,605.0
127,2011-05-07,Summer,2011,May,0,Sun,1,1,21.32,Mild,25.63105,54.125,Medium,10.750150000000001,Calm,1612,3102,4714,604.0
128,2011-05-08,Summer,2011,May,0,Mon,1,1,21.661653,Mild,25.946649999999998,63.1667,Medium,5.0007125,Calm,1401,2932,4333,603.0
129,2011-05-09,Summer,2011,May,0,Tue,1,1,21.8325,Mild,26.2623,58.875,Medium,11.792,Calm,664,3698,4362,602.0
130,2011-05-10,Summer,2011,May,0,Wed,1,1,21.8325,Mild,26.13605,48.9167,Medium,7.749956999999999,Calm,694,4109,4803,601.0
131,2011-05-11,Summer,2011,May,0,Thu,1,1,22.2425,Mild,26.419999999999998,63.29169999999999,Medium,8.083014,Calm,550,3632,4182,600.0
132,2011-05-12,Summer,2011,May,0,Fri,1,1,21.935000000000002,Mild,26.16815,74.75,High,12.707689,Breezy,695,4169,4864,599.0
133,2011-05-13,Summer,2011,May,0,Sat,1,2,21.0125,Mild,24.715,86.33330000000001,High,12.041575,Calm,692,3413,4105,598.0
134,2011-05-14,Summer,2011,May,0,Sun,1,2,21.354153,Mild,25.03145,92.25,High,9.041649999999999,Calm,902,2507,3409,597.0
135,2011-05-15,Summer,2011,May,0,Mon,1,2,23.0625,Mild,26.8,86.70830000000001,High,10.249593,Calm,1582,2971,4553,596.0
136,2011-05-16,Summer,2011,May,0,Tue,1,1,23.677500000000002,Mild,27.5256,78.79169999999999,High,8.500357000000001,Calm,773,3185,3958,595.0
137,2011-05-17,Summer,2011,May,0,Wed,1,2,23.028347,Mild,26.926450000000003,83.7917,High,18.582718,Breezy,678,3445,4123,594.0
138,2011-05-18,Summer,2011,May,0,Thu,1,2,22.55,Mild,26.3579,87.0,High,13.499964,Breezy,536,3319,3855,593.0
139,2011-05-19,Summer,2011,May,0,Fri,1,2,21.764153,Mild,25.537100000000002,82.9583,High,7.250271000000001,Calm,735,3840,4575,592.0
140,2011-05-20,Summer,2011,May,0,Sat,1,1,22.003347,Mild,26.4521,71.9583,High,8.375871,Calm,909,4008,4917,591.0
141,2011-05-21,Summer,2011,May,0,Sun,1,1,24.7025,Hot,28.59875,62.6667,Medium,8.083549999999999,Calm,2258,3547,5805,590.0
142,2011-05-22,Summer,2011,May,0,Mon,1,1,24.770847,Hot,28.725,74.9583,High,9.916536,Calm,1576,3084,4660,589.0
143,2011-05-23,Summer,2011,May,0,Tue,1,2,25.898346999999998,Hot,29.5148,81.0,High,15.667413999999999,Breezy,836,3438,4274,588.0
144,2011-05-24,Summer,2011,May,0,Wed,1,2,27.060000000000002,Hot,30.240650000000002,74.0833,High,13.875164,Breezy,659,3833,4492,587.0
145,2011-05-25,Summer,2011,May,0,Thu,1,1,27.094153,Hot,30.7771,69.625,High,10.333611000000001,Calm,740,4238,4978,586.0
146,2011-05-26,Summer,2011,May,0,Fri,1,1,29.041653,Hot,32.7344,67.75,High,13.376014,Breezy,758,3919,4677,585.0
147,2011-05-27,Summer,2011,May,0,Sat,1,1,27.948347000000002,Hot,31.8504,65.375,High,16.125493,Breezy,871,3808,4679,584.0
148,2011-05-28,Summer,2011,May,0,Sun,1,1,26.889153,Hot,30.61895,72.9583,High,15.416164,Breezy,2001,2757,4758,583.0
149,2011-05-29,Summer,2011,May,0,Mon,1,1,27.3675,Hot,30.777500000000003,81.875,High,14.333846,Breezy,2355,2433,4788,582.0
150,2011-05-30,Summer,2011,May,1,Tue,0,1,30.066653000000002,Hot,33.5546,68.5,High,8.792075,Calm,1549,2549,4098,581.0
151,2011-05-31,Summer,2011,May,0,Wed,1,1,31.775000000000002,Hot,36.26915,63.6667,Medium,7.459042999999999,Calm,673,3309,3982,580.0
152,2011-06-01,Summer,2011,Jun,0,Thu,1,2,31.330847000000002,Hot,36.04835,67.7083,High,13.875164,Breezy,513,3461,3974,579.0
153,2011-06-02,Summer,2011,Jun,0,Fri,1,1,29.314999999999998,Hot,32.1971,30.5,Low,19.583229000000003,Breezy,736,4232,4968,578.0
154,2011-06-03,Summer,2011,Jun,0,Sat,1,1,25.419999999999998,Hot,29.356650000000002,35.4167,Medium,16.959107,Breezy,898,4414,5312,577.0
155,2011-06-04,Summer,2011,Jun,0,Sun,1,1,26.035,Hot,29.7348,45.625,Medium,8.250514,Calm,1869,3473,5342,576.0
156,2011-06-05,Summer,2011,Jun,0,Mon,1,2,26.581653000000003,Hot,30.8402,65.25,High,9.292364000000001,Calm,1685,3221,4906,575.0
157,2011-06-06,Summer,2011,Jun,0,Tue,1,1,27.811653,Hot,31.0929,60.0,Medium,8.167032,Calm,673,3875,4548,574.0
158,2011-06-07,Summer,2011,Jun,0,Wed,1,1,29.0075,Hot,32.7975,59.791700000000006,Medium,12.583136,Breezy,763,4070,4833,573.0
159,2011-06-08,Summer,2011,Jun,0,Thu,1,1,31.809153,Hot,36.36395,62.20830000000001,Medium,9.166739,Calm,676,3725,4401,572.0
160,2011-06-09,Summer,2011,Jun,0,Fri,1,2,33.141653,Hot,37.87895,56.833299999999994,Medium,10.042161,Calm,563,3352,3915,571.0
161,2011-06-10,Summer,2011,Jun,0,Sat,1,1,30.955000000000002,Hot,35.1646,60.5,Medium,9.417118,Calm,815,3771,4586,570.0
162,2011-06-11,Summer,2011,Jun,0,Sun,1,1,29.724999999999998,Hot,33.901900000000005,65.45830000000001,High,10.374949999999998,Calm,1729,3237,4966,569.0
163,2011-06-12,Summer,2011,Jun,0,Mon,1,1,28.392500000000002,Hot,32.166250000000005,74.7917,High,10.958988999999999,Calm,1467,2993,4460,568.0
164,2011-06-13,Summer,2011,Jun,0,Tue,1,1,26.035,Hot,30.082700000000003,49.4583,Medium,20.45845,Breezy,863,4157,5020,567.0
165,2011-06-14,Summer,2011,Jun,0,Wed,1,1,24.770847,Hot,29.5773,50.708299999999994,Medium,18.041961,Breezy,727,4164,4891,566.0
166,2011-06-15,Summer,2011,Jun,0,Thu,1,1,25.693347,Hot,29.3877,47.1667,Medium,11.250104,Calm,769,4411,5180,565.0
167,2011-06-16,Summer,2011,Jun,0,Fri,1,2,25.761653000000003,Hot,29.767300000000002,68.8333,High,13.833556999999999,Breezy,545,3222,3767,564.0
168,2011-06-17,Summer,2011,Jun,0,Sat,1,1,26.615847000000002,Hot,30.01915,73.5833,High,9.582942999999998,Calm,863,3981,4844,563.0
169,2011-06-18,Summer,2011,Jun,0,Sun,1,1,28.563347,Hot,32.197700000000005,67.0417,High,8.000336,Calm,1807,3312,5119,562.0
170,2011-06-19,Summer,2011,Jun,0,Mon,1,2,28.665847,Hot,32.292300000000004,66.6667,High,6.834,Calm,1639,3105,4744,561.0
171,2011-06-20,Summer,2011,Jun,0,Tue,1,2,26.035,Hot,29.767300000000002,74.625,High,10.416825,Calm,699,3311,4010,560.0
172,2011-06-21,Fall,2011,Jun,0,Wed,1,2,27.914153000000002,Hot,31.8823,77.0417,High,11.458675000000001,Calm,774,4061,4835,559.0
173,2011-06-22,Fall,2011,Jun,0,Thu,1,1,30.066653000000002,Hot,34.69145,70.75,High,11.541554,Calm,661,3846,4507,558.0
174,2011-06-23,Fall,2011,Jun,0,Fri,1,2,29.861653,Hot,34.69165,70.3333,High,15.999868,Breezy,746,4044,4790,557.0
175,2011-06-24,Fall,2011,Jun,0,Sat,1,1,29.690847,Hot,32.82915,57.3333,Medium,14.875675,Breezy,969,4022,4991,556.0
176,2011-06-25,Fall,2011,Jun,0,Sun,1,1,28.494999999999997,Hot,32.16565,48.3333,Medium,14.041257,Breezy,1782,3420,5202,555.0
177,2011-06-26,Fall,2011,Jun,0,Mon,1,1,27.880000000000003,Hot,31.88145,51.3333,Medium,6.3337311,Calm,1920,3385,5305,554.0
178,2011-06-27,Fall,2011,Jun,0,Tue,1,2,27.982499999999998,Hot,31.8502,65.8333,High,7.2083960000000005,Calm,854,3854,4708,553.0
179,2011-06-28,Fall,2011,Jun,0,Wed,1,1,30.510847000000002,Hot,34.6279,63.416700000000006,Medium,9.666960999999999,Calm,732,3916,4648,552.0
180,2011-06-29,Fall,2011,Jun,0,Thu,1,1,29.861653,Hot,32.7344,49.7917,Medium,17.542007,Breezy,848,4377,5225,551.0
181,2011-06-30,Fall,2011,Jun,0,Fri,1,1,28.563347,Hot,31.8504,43.416700000000006,Medium,12.415904000000001,Breezy,1027,4488,5515,550.0
